Phase,Personne,Groupe,Tâche
Phase 1,P1,BD,Schéma base de données
Phase 1,P1,BD,Données de test
Phase 1,P2,Backend,Structure MVC (avec mocks)
Phase 1,P3,Backend,API Auth (mock)
Phase 1,P4,Frontend,UI globale (layout + CSS)
Phase 1,P5,Frontend,Design dashboard (fake data)
Phase 2,P1,BD,Finalisation base de données
Phase 2,P1,BD,Connexion BD réelle
Phase 2,P1,BD,Scripts SQL
Phase 2,P2,Backend,Routeur SPA
Phase 2,P2,Backend,Connexion API ↔ Front
Phase 2,P2,Backend,Gestion erreurs
Phase 2,P3,Backend,Auth backend réel
Phase 2,P3,Frontend,Login/Register UI
Phase 2,P4,Frontend,CRUD questions
Phase 2,P4,Frontend,Session Anki
Phase 2,P4,Frontend,Score temps réel
Phase 2,P5,Fullstack,CRUD paquets
Phase 2,P5,Fullstack,Dashboard paquets
Phase 2,P5,Fullstack,Partage + auto-complétion
Phase 2,P5,Fullstack,Notifications
Phase 3,P1,Documentation,Documentation BD
Phase 3,P2,Documentation,UML + architecture
Phase 3,P3,Documentation,Documentation Auth
Phase 3,P4,Documentation,Documentation UI/UX
Phase 3,P5,Documentation,Documentation fonctionnalités
Phase 3,Tous,QA,Tests croisés
